"ID";"Werkzaamheden";"Opdrachtgever";"Perioden";"TotaalAantalVerleendeBouwvergunningen_2";"AantalBouwvergunningenWoningbouw_4";"AantalBouwvergunningenUtiliteitsbouw_6"
"302";"0";"0";"2007MM11";"    3116";"    1990";"    1126"
"303";"0";"0";"2007MM12";"    3313";"    2058";"    1255"
"306";"0";"0";"2008MM01";"    2479";"    1513";"     966"
"307";"0";"0";"2008MM02";"    2193";"    1277";"     916"
"308";"0";"0";"2008MM03";"    2856";"    1691";"    1165"
"310";"0";"0";"2008MM04";"    2856";"    1711";"    1145"
"311";"0";"0";"2008MM05";"    2775";"    1684";"    1091"
"312";"0";"0";"2008MM06";"    2762";"    1619";"    1143"
"314";"0";"0";"2008MM07";"    2954";"    1669";"    1285"
"315";"0";"0";"2008MM08";"    3172";"    1952";"    1220"
"316";"0";"0";"2008MM09";"    3349";"    2032";"    1317"
"318";"0";"0";"2008MM10";"    2919";"    1818";"    1101"
"319";"0";"0";"2008MM11";"    3253";"    1948";"    1305"
"320";"0";"0";"2008MM12";"    3167";"    1949";"    1218"
"323";"0";"0";"2009MM01";"    2050";"    1234";"     816"
"324";"0";"0";"2009MM02";"    1955";"    1129";"     826"
"325";"0";"0";"2009MM03";"    2330";"    1323";"    1007"
"327";"0";"0";"2009MM04";"    2403";"    1414";"     989"
"328";"0";"0";"2009MM05";"    2126";"    1245";"     881"
"329";"0";"0";"2009MM06";"    2237";"    1273";"     964"
"331";"0";"0";"2009MM07";"    2683";"    1539";"    1144"
"332";"0";"0";"2009MM08";"    1852";"    1107";"     745"
"333";"0";"0";"2009MM09";"    2598";"    1491";"    1107"
"335";"0";"0";"2009MM10";"    2291";"    1335";"     956"
"336";"0";"0";"2009MM11";"    2137";"    1255";"     882"
"337";"0";"0";"2009MM12";"    3068";"    1872";"    1196"
"340";"0";"0";"2010MM01";"    1559";"     939";"     620"
"341";"0";"0";"2010MM02";"    1527";"     927";"     600"
"342";"0";"0";"2010MM03";"    2023";"    1222";"     801"
"344";"0";"0";"2010MM04";"    1811";"    1077";"     734"
"345";"0";"0";"2010MM05";"    1878";"    1086";"     792"
"346";"0";"0";"2010MM06";"    2279";"    1349";"     930"
"348";"0";"0";"2010MM07";"    2710";"    1587";"    1123"
"349";"0";"0";"2010MM08";"    2037";"    1172";"     865"
"350";"0";"0";"2010MM09";"    2076";"    1230";"     846"
"352";"0";"0";"2010MM10";"    1828";"    1072";"     756"
"353";"0";"0";"2010MM11";"    3128";"    1836";"    1292"
"354";"0";"0";"2010MM12";"    2285";"    1393";"     892"
"357";"0";"0";"2011MM01";"    1657";"    1064";"     593"
"358";"0";"0";"2011MM02";"    1691";"    1131";"     560"
"359";"0";"0";"2011MM03";"    2112";"    1386";"     726"
"361";"0";"0";"2011MM04";"    1815";"    1110";"     705"
"362";"0";"0";"2011MM05";"    1566";"     921";"     645"
"363";"0";"0";"2011MM06";"    1794";"    1029";"     765"
"365";"0";"0";"2011MM07";"    1871";"    1064";"     807"
"366";"0";"0";"2011MM08";"    1368";"     809";"     559"
"367";"0";"0";"2011MM09";"    2155";"    1262";"     893"
"369";"0";"0";"2011MM10";"    2408";"    1394";"    1014"
"370";"0";"0";"2011MM11";"    2292";"    1312";"     980"
"371";"0";"0";"2011MM12";"    1988";"    1108";"     880"
"374";"0";"0";"2012MM01";"    1173";"     651";"     522"
"375";"0";"0";"2012MM02";"    1354";"     802";"     552"
"376";"0";"0";"2012MM03";"    1475";"     829";"     646"
"378";"0";"0";"2012MM04";"    1271";"     716";"     555"
"379";"0";"0";"2012MM05";"    1439";"     774";"     665"
"380";"0";"0";"2012MM06";"    1847";"    1032";"     815"
"382";"0";"0";"2012MM07";"    1648";"     917";"     731"
"383";"0";"0";"2012MM08";"    1349";"     740";"     609"
"384";"0";"0";"2012MM09";"    1634";"     882";"     752"
"386";"0";"0";"2012MM10";"    1468";"     803";"     665"
"387";"0";"0";"2012MM11";"    1525";"     884";"     641"
"388";"0";"0";"2012MM12";"    1359";"     790";"     569"
"391";"0";"0";"2013MM01";"    1133";"     612";"     521"
"392";"0";"0";"2013MM02";"    1035";"     590";"     445"
"393";"0";"0";"2013MM03";"    1355";"     729";"     626"
"395";"0";"0";"2013MM04";"    1313";"     689";"     624"
"396";"0";"0";"2013MM05";"    1414";"     785";"     629"
"397";"0";"0";"2013MM06";"    1419";"     760";"     659"
"399";"0";"0";"2013MM07";"    1546";"     830";"     716"
"400";"0";"0";"2013MM08";"    1094";"     586";"     508"
"401";"0";"0";"2013MM09";"    1577";"     843";"     734"
"403";"0";"0";"2013MM10";"    1399";"     836";"     563"
"404";"0";"0";"2013MM11";"    1456";"     849";"     607"
"405";"0";"0";"2013MM12";"    1351";"     744";"     607"
"408";"0";"0";"2014MM01";"    1590";"     859";"     731"
"409";"0";"0";"2014MM02";"    1286";"     752";"     534"
"410";"0";"0";"2014MM03";"    1422";"     844";"     578"
"412";"0";"0";"2014MM04";"    1422";"     799";"     623"
"413";"0";"0";"2014MM05";"    1383";"     798";"     585"
"414";"0";"0";"2014MM06";"    1511";"     906";"     605"
"416";"0";"0";"2014MM07";"    1783";"    1077";"     706"
"417";"0";"0";"2014MM08";"    1242";"     773";"     469"
"418";"0";"0";"2014MM09";"    1604";"    1033";"     571"
"420";"0";"0";"2014MM10";"    1533";"     944";"     589"
"421";"0";"0";"2014MM11";"    1432";"     937";"     495"
"422";"0";"0";"2014MM12";"    1798";"    1158";"     640"
"425";"0";"0";"2015MM01";"    1358";"     921";"     437"
"426";"0";"0";"2015MM02";"    1913";"    1429";"     484"
"427";"0";"0";"2015MM03";"    1729";"    1224";"     505"
"429";"0";"0";"2015MM04";"    1852";"    1243";"     609"
"430";"0";"0";"2015MM05";"    1351";"     880";"     471"
"431";"0";"0";"2015MM06";"    1672";"    1057";"     615"
"433";"0";"0";"2015MM07";"    1477";"     917";"     560"
"434";"0";"0";"2015MM08";"    1504";"     936";"     568"
"435";"0";"0";"2015MM09";"    1602";"    1032";"     570"
"437";"0";"0";"2015MM10";"    1509";"    1011";"     498"
"438";"0";"0";"2015MM11";"    1659";"    1101";"     558"
"439";"0";"0";"2015MM12";"    1662";"    1129";"     533"
"442";"0";"0";"2016MM01";"    1224";"     875";"     349"
"443";"0";"0";"2016MM02";"    1679";"    1151";"     528"
"444";"0";"0";"2016MM03";"    1529";"    1050";"     479"
"446";"0";"0";"2016MM04";"    1776";"    1185";"     591"
"447";"0";"0";"2016MM05";"    1528";"    1020";"     508"
"448";"0";"0";"2016MM06";"    1946";"    1322";"     624"
"450";"0";"0";"2016MM07";"    1909";"    1301";"     608"
"451";"0";"0";"2016MM08";"    1685";"    1162";"     523"
"452";"0";"0";"2016MM09";"    1937";"    1398";"     539"
"454";"0";"0";"2016MM10";"    1685";"    1163";"     522"
"455";"0";"0";"2016MM11";"    1935";"    1345";"     590"
"456";"0";"0";"2016MM12";"    2087";"    1509";"     578"
