"buildpermits","faillisementen","dax","cac40","ftse","sp500","fin_stress","GAS_EU","OIL_BRENT","GOLD","Short_interest","Long_interest"
"42","-28","-0.0505736936116934","-0.0633003836568449","-0.034474223710995","-0.0490774658601492","0.0825","-0.0800000000000001","-1.1","9.77000000000004","0.0199999999999996","8.64"
"315","21","-0.00273815378753195","0.00405446984792768","0.0695779785828385","0.0438822763169613","0.0537","-0.29","1.25","0.96999999999997","0.0199999999999996","8.82"
"-547","-49","0.018714755370616","0.0605877995926507","0.0217411953811215","0.0194582392017226","0.0882","-0.02","0.300000000000001","-11.38","0.17","8.84"
"238","15","-0.0272860304835989","0.00870518829635269","-0.00911271842958694","-0.0193293498695599","0.0584","-0.00999999999999979","0.75","-7.56999999999999","-0.0399999999999991","8.77"
"259","151","-0.016137251059523","-0.0127901700585751","-0.0214746775014216","0.0117647596767396","0.0589","-0.26","1.7","9.94999999999999","0.0299999999999994","8.72"
"-360","-34","-0.00552869114972054","-0.0650880356377881","-0.0584981049868736","-0.0448966478087369","0.0909","-0.00999999999999979","-0.949999999999999","1.48000000000002","0.0899999999999999","8.75"
"-188","-69","0.00393858240509815","0.0148345281729902","0.0296767940154625","0.105789493200655","0.111","0","-2.85","1.56","0.279999999999999","8.72"
"-191","8","0.0664917079982965","0.0602214881773095","0.0308457417886743","-0.0201249060419979","0.1056","-0.13","-0.25","-7.28000000000003","-0.149999999999999","8.39"
"417","-7","0.035581770340543","0.0560438831174297","-0.00354542417594406","0.00954385530957591","0.076","-0.0699999999999998","-0.0499999999999972","-0.539999999999964","0.0499999999999989","8.3"
"295","63","-0.0163981349686884","-0.0208882216314308","-0.0487882107414892","-0.0220737036066376","0.0441","0.0800000000000001","-0.5","-9.57000000000005","0.00999999999999979","8.31"
"-370","27","0.00565221857606968","0.0446531721601557","0.0840665888765253","0.027510797732174","0.0242","-0.11","1.35","-5.71999999999997","-0.109999999999999","8.31"
"-30","-63","0.0442970296902772","0.00108260663386872","0.0199570187499729","0.00096349251741934","0.0307","0.02","0.949999999999999","-1.38","0.0199999999999996","8.32"
"810","-4","-0.0288734238118158","-0.0674904998654284","-0.0713277104299728","-0.0175112642882969","0.0203","0.00999999999999979","1.25","3.56999999999999","0","8.3"
"-383","47","-0.0871444940741943","-0.079871738957535","-0.0494328617961131","0.038618306803877","0.0466","0.0499999999999998","-0.899999999999999","11.91","0.0600000000000005","8.34"
