"ID";"TypeGefailleerde";"Perioden";"UitgesprokenFaillissementen_1"
"754";"A041718";"1983MM05";"     100"
"755";"A041718";"1983MM06";"     102"
"757";"A041718";"1983MM07";"     102"
"758";"A041718";"1983MM08";"     117"
"759";"A041718";"1983MM09";"     121"
"761";"A041718";"1983MM10";"     104"
"762";"A041718";"1983MM11";"     115"
"763";"A041718";"1983MM12";"      84"
"766";"A041718";"1984MM01";"     110"
"767";"A041718";"1984MM02";"     115"
"768";"A041718";"1984MM03";"     102"
"770";"A041718";"1984MM04";"      69"
"771";"A041718";"1984MM05";"      94"
"772";"A041718";"1984MM06";"      73"
"774";"A041718";"1984MM07";"      74"
"775";"A041718";"1984MM08";"      89"
"776";"A041718";"1984MM09";"      75"
"778";"A041718";"1984MM10";"     101"
"779";"A041718";"1984MM11";"      76"
"780";"A041718";"1984MM12";"      55"
"783";"A041718";"1985MM01";"     111"
"784";"A041718";"1985MM02";"      81"
"785";"A041718";"1985MM03";"      80"
"787";"A041718";"1985MM04";"      76"
"788";"A041718";"1985MM05";"      79"
"789";"A041718";"1985MM06";"      69"
"791";"A041718";"1985MM07";"      73"
"792";"A041718";"1985MM08";"      63"
"793";"A041718";"1985MM09";"      45"
"795";"A041718";"1985MM10";"      85"
"796";"A041718";"1985MM11";"      75"
"797";"A041718";"1985MM12";"      41"
"800";"A041718";"1986MM01";"      53"
"801";"A041718";"1986MM02";"      49"
"802";"A041718";"1986MM03";"      53"
"804";"A041718";"1986MM04";"      75"
"805";"A041718";"1986MM05";"      65"
"806";"A041718";"1986MM06";"      66"
"808";"A041718";"1986MM07";"      65"
"809";"A041718";"1986MM08";"      51"
"810";"A041718";"1986MM09";"      81"
"812";"A041718";"1986MM10";"      51"
"813";"A041718";"1986MM11";"      64"
"814";"A041718";"1986MM12";"      42"
"817";"A041718";"1987MM01";"      50"
"818";"A041718";"1987MM02";"      61"
"819";"A041718";"1987MM03";"      62"
"821";"A041718";"1987MM04";"      54"
"822";"A041718";"1987MM05";"      44"
"823";"A041718";"1987MM06";"      43"
"825";"A041718";"1987MM07";"      66"
"826";"A041718";"1987MM08";"      34"
"827";"A041718";"1987MM09";"      35"
"829";"A041718";"1987MM10";"      51"
"830";"A041718";"1987MM11";"      41"
"831";"A041718";"1987MM12";"      43"
"834";"A041718";"1988MM01";"      49"
"835";"A041718";"1988MM02";"      64"
"836";"A041718";"1988MM03";"      53"
"838";"A041718";"1988MM04";"      43"
"839";"A041718";"1988MM05";"      35"
"840";"A041718";"1988MM06";"      41"
"842";"A041718";"1988MM07";"      41"
"843";"A041718";"1988MM08";"      43"
"844";"A041718";"1988MM09";"      48"
"846";"A041718";"1988MM10";"      46"
"847";"A041718";"1988MM11";"      45"
"848";"A041718";"1988MM12";"      38"
"851";"A041718";"1989MM01";"      38"
"852";"A041718";"1989MM02";"      52"
"853";"A041718";"1989MM03";"      44"
"855";"A041718";"1989MM04";"      49"
"856";"A041718";"1989MM05";"      55"
"857";"A041718";"1989MM06";"      45"
"859";"A041718";"1989MM07";"      36"
"860";"A041718";"1989MM08";"      52"
"861";"A041718";"1989MM09";"      44"
"863";"A041718";"1989MM10";"      59"
"864";"A041718";"1989MM11";"      59"
"865";"A041718";"1989MM12";"      42"
"868";"A041718";"1990MM01";"      52"
"869";"A041718";"1990MM02";"      45"
"870";"A041718";"1990MM03";"      61"
"872";"A041718";"1990MM04";"      39"
"873";"A041718";"1990MM05";"      55"
"874";"A041718";"1990MM06";"      51"
"876";"A041718";"1990MM07";"      39"
"877";"A041718";"1990MM08";"      30"
"878";"A041718";"1990MM09";"      48"
"880";"A041718";"1990MM10";"      61"
"881";"A041718";"1990MM11";"      52"
"882";"A041718";"1990MM12";"      25"
"885";"A041718";"1991MM01";"      37"
"886";"A041718";"1991MM02";"      42"
"887";"A041718";"1991MM03";"      54"
"889";"A041718";"1991MM04";"      35"
"890";"A041718";"1991MM05";"      52"
"891";"A041718";"1991MM06";"      40"
"893";"A041718";"1991MM07";"      47"
"894";"A041718";"1991MM08";"      36"
"895";"A041718";"1991MM09";"      35"
"897";"A041718";"1991MM10";"      60"
"898";"A041718";"1991MM11";"      63"
"899";"A041718";"1991MM12";"      40"
"902";"A041718";"1992MM01";"      40"
"903";"A041718";"1992MM02";"      60"
"904";"A041718";"1992MM03";"      50"
"906";"A041718";"1992MM04";"      66"
"907";"A041718";"1992MM05";"      44"
"908";"A041718";"1992MM06";"      53"
"910";"A041718";"1992MM07";"      56"
"911";"A041718";"1992MM08";"      41"
"912";"A041718";"1992MM09";"      77"
"914";"A041718";"1992MM10";"      63"
"915";"A041718";"1992MM11";"      53"
"916";"A041718";"1992MM12";"      73"
"919";"A041718";"1993MM01";"      74"
"920";"A041718";"1993MM02";"      90"
"921";"A041718";"1993MM03";"      67"
"923";"A041718";"1993MM04";"      67"
"924";"A041718";"1993MM05";"      78"
"925";"A041718";"1993MM06";"      72"
"927";"A041718";"1993MM07";"      70"
"928";"A041718";"1993MM08";"      74"
"929";"A041718";"1993MM09";"      79"
