"ID";"AardWerkzaamheden";"Gebouwbestemming";"Perioden";"Bouwkosten_1";"Bouwvergunningen_2";"Bouwkosten_3";"Bouwvergunningen_4"
"181";"T001212";"A007232";"2016MM02";"     558";"    1253";"   113.2";"   142.2"
"182";"T001212";"A007232";"2016MM03";"     652";"    1217";"   132.3";"   138.2"
"183";"T001212";"A007232";"2016MM04";"     597";"    1231";"   121.1";"   139.7"
"184";"T001212";"A007232";"2016MM05";"     693";"    1238";"   140.6";"   140.4"
"185";"T001212";"A007232";"2016MM06";"     729";"    1319";"   147.9";"   149.7"
"186";"T001212";"A007232";"2016MM07";"     676";"    1368";"   137.1";"   155.3"
"187";"T001212";"A007232";"2016MM08";"     682";"    1170";"   138.3";"   132.8"
"188";"T001212";"A007232";"2016MM09";"     841";"    1427";"   170.6";"   162.0"
"189";"T001212";"A007232";"2016MM10";"     776";"    1161";"   157.4";"   131.7"
"190";"T001212";"A007232";"2016MM11";"     743";"    1374";"   150.8";"   156.0"
"191";"T001212";"A007232";"2016MM12";"     861";"    1410";"   174.6";"   160.0"
"192";"T001212";"A007232";"2017MM01";"     688";"    1402";"   139.6";"   159.1"
"193";"T001212";"A007232";"2017MM02";"     781";"    1443";"   158.4";"   163.8"
"194";"T001212";"A007232";"2017MM03";"    1048";"    1611";"   212.6";"   182.9"
"195";"T001212";"A007232";"2017MM04";"     994";"    1409";"   201.6";"   159.9"
"196";"T001212";"A007232";"2017MM05";"     821";"    1679";"   166.6";"   190.6"
"197";"T001212";"A007232";"2017MM06";"     805";"    1595";"   163.4";"   181.0"
"198";"T001212";"A007232";"2017MM07";"    1212";"    1750";"   245.9";"   198.6"
"199";"T001212";"A007232";"2017MM08";"     849";"    1487";"   172.4";"   168.7"
"200";"T001212";"A007232";"2017MM09";"    1022";"    1644";"   207.3";"   186.6"
"201";"T001212";"A007232";"2017MM10";"    1132";"    1519";"   229.6";"   172.4"
"202";"T001212";"A007232";"2017MM11";"     950";"    1550";"   192.8";"   175.9"
